Country,ETFs
 Argentina,3
 Australia,4
 Austria,1
 Belgium,1
 Brazil,8
 BRIC,1
 Broad Africa,1
 Broad Frontier Markets,1
 Canada,7
 Chile,1
 China,51
 Chindia,1
 Colombia,3
 Denmark,1
 Egypt,1
 Finland,1
 France,1
 Germany,7
 Greece,1
 Hong Kong,2
 India,12
 Indonesia,2
 Ireland,1
 Israel,4
 Italy,1
 Japan,23
 Malaysia,1
 Mexico,4
 Netherlands,1
 New Zealand,1
 Nigeria,1
 Norway,2
 Pakistan,1
 Peru,1
 Philippines,1
 Poland,1
 Portugal,1
 Qatar,1
 Russia,3
 Saudi Arabia,2
 Singapore,2
 South Africa,1
 South Korea,3
 Spain,1
 Sweden,1
 Switzerland,3
 Taiwan,2
 Thailand,1
 Turkey,1
 U.S.,1565
 United Arab Emirates,1
 United Kingdom,5
 Vietnam,1
